Interest rate,GDP growth,Inflation,Volume,FX rate,In,Index
3.95,3.639715816,2.9,2380650400,0.5884,23.36956522,2778.4
3.85,3.639715816,2.9,10761888900,0.6054,23.55555556,2848.6
3.85,3.059118989,3.3,10761888900,0.6036,24.58296752,2848.6
3.85,3.059118989,3.3,9067411400,0.623,20.6512425,2970.9
3.85,3.059118989,3.3,11602052000,0.6522,19.89619377,2979.8
3.55,1.739292249,2.6,12136302200,0.6674,16.02399314,2998.9
3.6,1.739292249,2.6,11911513400,0.6529,15.65957447,3106.7
3.75,1.739292249,2.6,12206327200,0.64,12.86549708,3202.9
3.8,3.202256051,2.6,13254645600,0.6801,11.48482363,3176.2
4,3.202256051,2.6,13468254400,0.7046,12.00980392,3282.4
4.15,3.202256051,2.6,9052997200,0.7206,12.23832528,3306
4.8,4.064594292,2.4,10216925200,0.75,10.90047393,3283.6
4.85,4.064594292,2.4,10487384600,0.7644,-0.691982367,3372.5
4.85,4.064594292,2.4,13567768400,0.7708,4.506442641,3416.4
4.75,4.663401194,2,13567768400,0.7589,3.741007194,3416.4
4.8,4.663401194,2,11222567200,0.722,1.691331924,3407.7
4.8,4.663401194,2,11884639800,0.7143,2.130681818,3456.9
4.75,4.923210116,2.5,12674615200,0.6889,0.865800866,3530.3
4.75,4.923210116,2.5,12269737000,0.6986,0,3546.1
4.75,4.923210116,2.5,11357769200,0.7011,-2.72259014,3561.9
4.7,3.917268159,2.3,12444758400,0.7147,-2.22057735,3674.7
4.7,3.917268159,2.3,15333021000,0.7461,-3.752759382,3786.3
4.7,3.917268159,2.3,10437165000,0.7775,-3.792851933,4053.1
4.7,2.986851839,2.5,9541139200,0.779,-4.519368723,4106.7
4.65,2.986851839,2.5,12326765400,0.7744,-4.415954416,4156.5
4.5,2.986851839,2.5,12843285200,0.7905,2.703427373,4100.6
4.55,2.979674333,2.4,12843285200,0.7719,-2.907011073,4100.6
4.6,2.979674333,2.4,11442532600,0.7811,-3.46740638,3943.1
4.7,2.979674333,2.4,12132163600,0.7557,-3.880803881,4070.4
4.55,2.750531686,2.5,12342896000,0.7637,-3.54659249,4229.9
4.75,2.750531686,2.5,11827462800,0.7595,-2.074391989,4346.7
4.6,2.750531686,2.5,14391576800,0.7471,0.073855244,4413.5
4.55,3.117981011,3.1,14187943200,0.7615,3.479576399,4592.6
